Week number,Week ending,44 and less,44 to 65,65+,Gender,Region,Year,Deaths
1,08/01/2021,220,1201,7501,Male,EandW,2021,All
2,15/01/2021,268,1289,7650,Male,EandW,2021,All
3,22/01/2021,290,1350,7900,Male,EandW,2021,All
4,29/01/2021,297,1331,7699,Male,EandW,2021,All
5,05/02/2021,267,1238,7142,Male,EandW,2021,All
6,12/02/2021,301,1199,6346,Male,EandW,2021,All
7,19/02/2021,254,1108,5665,Male,EandW,2021,All
8,26/02/2021,242,999,5179,Male,EandW,2021,All
9,05/03/2021,279,943,4717,Male,EandW,2021,All
10,12/03/2021,267,941,4368,Male,EandW,2021,All
11,19/03/2021,222,900,4137,Male,EandW,2021,All
12,26/03/2021,239,823,4049,Male,EandW,2021,All
13,02/04/2021,222,660,3248,Male,EandW,2021,All
14,09/04/2021,210,711,3655,Male,EandW,2021,All
15,16/04/2021,247,867,4135,Male,EandW,2021,All
16,23/04/2021,232,872,3899,Male,EandW,2021,All
17,30/04/2021,194,777,4038,Male,EandW,2021,All
18,07/05/2021,215,613,3333,Male,EandW,2021,All
19,14/05/2021,217,832,4099,Male,EandW,2021,All
20,21/05/2021,281,822,3998,Male,EandW,2021,All
21,28/05/2021,252,780,3873,Male,EandW,2021,All
22,04/06/2021,186,663,3215,Male,EandW,2021,All
23,11/06/2021,259,804,4101,Male,EandW,2021,All
24,18/06/2021,228,763,3767,Male,EandW,2021,All
25,25/06/2021,201,723,3528,Male,EandW,2021,All
26,02/07/2021,202,749,3613,Male,EandW,2021,All
27,09/07/2021,244,747,3960,Male,EandW,2021,All
28,16/07/2021,238,779,3910,Male,EandW,2021,All
29,23/07/2021,234,767,3941,Male,EandW,2021,All
30,30/07/2021,246,809,4105,Male,EandW,2021,All
31,06/08/2021,234,837,4046,Male,EandW,2021,All
32,13/08/2021,243,819,4173,Male,EandW,2021,All
33,20/08/2021,249,753,4130,Male,EandW,2021,All
34,27/08/2021,252,829,4150,Male,EandW,2021,All
35,03/09/2021,187,662,3595,Male,EandW,2021,All
36,10/09/2021,264,859,4559,Male,EandW,2021,All
37,17/09/2021,215,847,4465,Male,EandW,2021,All
38,24/09/2021,257,807,4398,Male,EandW,2021,All
39,01/10/2021,251,867,4197,Male,EandW,2021,All
40,08/10/2021,282,793,4515,Male,EandW,2021,All
41,15/10/2021,239,888,4537,Male,EandW,2021,All
42,22/10/2021,253,894,4672,Male,EandW,2021,All
43,29/10/2021,224,848,4575,Male,EandW,2021,All
44,05/11/2021,257,860,4745,Male,EandW,2021,All
45,12/11/2021,274,893,4983,Male,EandW,2021,All
46,19/11/2021,256,896,4942,Male,EandW,2021,All
47,26/11/2021,265,847,4696,Male,EandW,2021,All
48,03/12/2021,291,917,4664,Male,EandW,2021,All
49,10/12/2021,253,849,4970,Male,EandW,2021,All
50,17/12/2021,274,920,5049,Male,EandW,2021,All
51,24/12/2021,297,980,5316,Male,EandW,2021,All
52,31/12/2021,135,595,3395,Male,EandW,2021,All
53,08/01/2021,147,777,7905,Female,EandW,2021,All
54,15/01/2021,180,812,7843,Female,EandW,2021,All
55,22/01/2021,191,852,8093,Female,EandW,2021,All
56,29/01/2021,181,812,8128,Female,EandW,2021,All
57,05/02/2021,166,777,7602,Female,EandW,2021,All
58,12/02/2021,183,727,6598,Female,EandW,2021,All
59,19/02/2021,149,725,5908,Female,EandW,2021,All
60,26/02/2021,148,634,5412,Female,EandW,2021,All
61,05/03/2021,140,598,4915,Female,EandW,2021,All
62,12/03/2021,148,585,4678,Female,EandW,2021,All
63,19/03/2021,149,554,4349,Female,EandW,2021,All
64,26/03/2021,154,522,4258,Female,EandW,2021,All
65,02/04/2021,116,446,3509,Female,EandW,2021,All
66,09/04/2021,137,482,3903,Female,EandW,2021,All
67,16/04/2021,145,529,4515,Female,EandW,2021,All
68,23/04/2021,155,516,4267,Female,EandW,2021,All
69,30/04/2021,142,491,4050,Female,EandW,2021,All
70,07/05/2021,103,404,3318,Female,EandW,2021,All
71,14/05/2021,130,491,4395,Female,EandW,2021,All
72,21/05/2021,135,531,4093,Female,EandW,2021,All
73,28/05/2021,158,491,4074,Female,EandW,2021,All
74,04/06/2021,97,392,3225,Female,EandW,2021,All
75,11/06/2021,145,512,4383,Female,EandW,2021,All
76,18/06/2021,146,541,4014,Female,EandW,2021,All
77,25/06/2021,123,430,3685,Female,EandW,2021,All
78,02/07/2021,132,467,3645,Female,EandW,2021,All
79,09/07/2021,144,520,4137,Female,EandW,2021,All
80,16/07/2021,137,540,4093,Female,EandW,2021,All
81,23/07/2021,145,502,4155,Female,EandW,2021,All
82,30/07/2021,135,518,4322,Female,EandW,2021,All
83,06/08/2021,138,558,4374,Female,EandW,2021,All
84,13/08/2021,152,529,4456,Female,EandW,2021,All
85,20/08/2021,125,515,4241,Female,EandW,2021,All
86,27/08/2021,123,511,4403,Female,EandW,2021,All
87,03/09/2021,124,480,3749,Female,EandW,2021,All
88,10/09/2021,136,568,4649,Female,EandW,2021,All
89,17/09/2021,123,557,4802,Female,EandW,2021,All
90,24/09/2021,150,579,4493,Female,EandW,2021,All
91,01/10/2021,151,559,4485,Female,EandW,2021,All
92,08/10/2021,131,553,4533,Female,EandW,2021,All
93,15/10/2021,146,578,4789,Female,EandW,2021,All
94,22/10/2021,145,594,4750,Female,EandW,2021,All
95,29/10/2021,141,565,4634,Female,EandW,2021,All
96,05/11/2021,140,492,5056,Female,EandW,2021,All
97,12/11/2021,173,593,5134,Female,EandW,2021,All
98,19/11/2021,143,567,5299,Female,EandW,2021,All
99,26/11/2021,164,589,4906,Female,EandW,2021,All
100,03/12/2021,160,592,5035,Female,EandW,2021,All
101,10/12/2021,143,590,5125,Female,EandW,2021,All
102,17/12/2021,158,604,5395,Female,EandW,2021,All
103,24/12/2021,152,615,5653,Female,EandW,2021,All
104,31/12/2021,73,430,3849,Female,EandW,2021,All
105,08/01/2021,37,371,2813,Male,EandW,2021,COVID
106,15/01/2021,47,486,3283,Male,EandW,2021,COVID
107,22/01/2021,65,513,3853,Male,EandW,2021,COVID
108,29/01/2021,62,568,3725,Male,EandW,2021,COVID
109,05/02/2021,57,515,3204,Male,EandW,2021,COVID
110,12/02/2021,42,453,2547,Male,EandW,2021,COVID
111,19/02/2021,30,332,1809,Male,EandW,2021,COVID
112,26/02/2021,22,255,1264,Male,EandW,2021,COVID
113,05/03/2021,27,197,929,Male,EandW,2021,COVID
114,12/03/2021,13,161,646,Male,EandW,2021,COVID
115,19/03/2021,10,111,411,Male,EandW,2021,COVID
116,26/03/2021,8,100,287,Male,EandW,2021,COVID
117,02/04/2021,11,47,158,Male,EandW,2021,COVID
118,09/04/2021,8,45,168,Male,EandW,2021,COVID
119,16/04/2021,6,46,150,Male,EandW,2021,COVID
120,23/04/2021,4,32,117,Male,EandW,2021,COVID
121,30/04/2021,7,21,88,Male,EandW,2021,COVID
122,07/05/2021,5,21,58,Male,EandW,2021,COVID
123,14/05/2021,2,23,52,Male,EandW,2021,COVID
124,21/05/2021,3,13,45,Male,EandW,2021,COVID
125,28/05/2021,4,16,41,Male,EandW,2021,COVID
126,04/06/2021,3,7,34,Male,EandW,2021,COVID
127,11/06/2021,1,10,36,Male,EandW,2021,COVID
128,18/06/2021,1,12,42,Male,EandW,2021,COVID
129,25/06/2021,4,21,44,Male,EandW,2021,COVID
130,02/07/2021,5,14,41,Male,EandW,2021,COVID
131,09/07/2021,9,23,69,Male,EandW,2021,COVID
132,16/07/2021,9,27,85,Male,EandW,2021,COVID
133,23/07/2021,14,41,138,Male,EandW,2021,COVID
134,30/07/2021,14,50,172,Male,EandW,2021,COVID
135,06/08/2021,26,78,222,Male,EandW,2021,COVID
136,13/08/2021,18,76,242,Male,EandW,2021,COVID
137,20/08/2021,17,70,241,Male,EandW,2021,COVID
138,27/08/2021,21,85,288,Male,EandW,2021,COVID
139,03/09/2021,17,66,301,Male,EandW,2021,COVID
140,10/09/2021,17,88,418,Male,EandW,2021,COVID
141,17/09/2021,16,84,368,Male,EandW,2021,COVID
142,24/09/2021,18,96,399,Male,EandW,2021,COVID
143,01/10/2021,9,79,352,Male,EandW,2021,COVID
144,08/10/2021,14,76,308,Male,EandW,2021,COVID
145,15/10/2021,13,51,341,Male,EandW,2021,COVID
146,22/10/2021,11,88,366,Male,EandW,2021,COVID
147,29/10/2021,13,69,410,Male,EandW,2021,COVID
148,05/11/2021,12,88,467,Male,EandW,2021,COVID
149,12/11/2021,14,99,504,Male,EandW,2021,COVID
150,19/11/2021,18,102,462,Male,EandW,2021,COVID
151,26/11/2021,14,88,397,Male,EandW,2021,COVID
152,03/12/2021,20,104,351,Male,EandW,2021,COVID
153,10/12/2021,14,74,320,Male,EandW,2021,COVID
154,17/12/2021,23,85,325,Male,EandW,2021,COVID
155,24/12/2021,29,120,354,Male,EandW,2021,COVID
156,31/12/2021,21,79,229,Male,EandW,2021,COVID
157,08/01/2021,24,236,2576,Female,EandW,2021,COVID
158,15/01/2021,39,279,3111,Female,EandW,2021,COVID
159,22/01/2021,27,345,3619,Female,EandW,2021,COVID
160,29/01/2021,35,324,3719,Female,EandW,2021,COVID
161,05/02/2021,40,292,3212,Female,EandW,2021,COVID
162,12/02/2021,30,223,2396,Female,EandW,2021,COVID
163,19/02/2021,24,203,1681,Female,EandW,2021,COVID
164,26/02/2021,20,160,1193,Female,EandW,2021,COVID
165,05/03/2021,20,120,812,Female,EandW,2021,COVID
166,12/03/2021,15,82,584,Female,EandW,2021,COVID
167,19/03/2021,4,64,363,Female,EandW,2021,COVID
168,26/03/2021,4,51,269,Female,EandW,2021,COVID
169,02/04/2021,7,32,145,Female,EandW,2021,COVID
170,09/04/2021,7,26,125,Female,EandW,2021,COVID
171,16/04/2021,7,22,131,Female,EandW,2021,COVID
172,23/04/2021,0,18,89,Female,EandW,2021,COVID
173,30/04/2021,2,11,76,Female,EandW,2021,COVID
174,07/05/2021,0,9,36,Female,EandW,2021,COVID
175,14/05/2021,3,9,62,Female,EandW,2021,COVID
176,21/05/2021,0,6,40,Female,EandW,2021,COVID
177,28/05/2021,1,9,24,Female,EandW,2021,COVID
178,04/06/2021,3,15,36,Female,EandW,2021,COVID
179,11/06/2021,4,9,24,Female,EandW,2021,COVID
180,18/06/2021,1,7,39,Female,EandW,2021,COVID
181,25/06/2021,2,8,20,Female,EandW,2021,COVID
182,02/07/2021,4,11,34,Female,EandW,2021,COVID
183,09/07/2021,3,16,63,Female,EandW,2021,COVID
184,16/07/2021,3,24,70,Female,EandW,2021,COVID
185,23/07/2021,6,19,109,Female,EandW,2021,COVID
186,30/07/2021,6,26,136,Female,EandW,2021,COVID
187,06/08/2021,16,32,153,Female,EandW,2021,COVID
188,13/08/2021,11,44,180,Female,EandW,2021,COVID
189,20/08/2021,6,46,190,Female,EandW,2021,COVID
190,27/08/2021,10,53,211,Female,EandW,2021,COVID
191,03/09/2021,7,43,225,Female,EandW,2021,COVID
192,10/09/2021,11,57,266,Female,EandW,2021,COVID
193,17/09/2021,9,62,312,Female,EandW,2021,COVID
194,24/09/2021,15,59,301,Female,EandW,2021,COVID
195,01/10/2021,20,54,269,Female,EandW,2021,COVID
196,08/10/2021,6,38,224,Female,EandW,2021,COVID
