Week number,Week ending,44 and less (M),44 to 65 (M),65+ (M),44 and less (F),44 to 65 (F),65+ (F),Region,Year,Deaths
1,07/01/2022,191,736,4587,128,542,5156,EandW,2022,Non-COVID
2,14/01/2022,226,867,4942,126,534,5234,EandW,2022,Non-COVID
3,21/01/2022,239,831,4631,149,531,4911,EandW,2022,Non-COVID
4,28/01/2022,222,819,4509,139,542,4785,EandW,2022,Non-COVID
5,04/02/2022,226,890,4335,117,532,4520,EandW,2022,Non-COVID
6,11/02/2022,208,757,4298,157,505,4567,EandW,2022,Non-COVID
7,18/02/2022,259,821,4162,153,473,4540,EandW,2022,Non-COVID
8,25/02/2022,226,767,4218,130,500,4543,EandW,2022,Non-COVID
9,04/03/2022,239,812,4261,133,505,4605,EandW,2022,Non-COVID
10,11/03/2022,245,817,4210,141,509,4634,EandW,2022,Non-COVID
11,18/03/2022,246,787,4245,124,433,4409,EandW,2022,Non-COVID
12,25/03/2022,228,769,4138,133,484,4213,EandW,2022,Non-COVID
13,01/04/2022,224,693,3561,128,469,3912,EandW,2022,Non-COVID
14,08/04/2022,229,712,4007,111,497,4171,EandW,2022,Non-COVID
15,15/04/2022,193,633,3734,103,469,3784,EandW,2022,Non-COVID
16,22/04/2022,211,684,3894,102,435,4312,EandW,2022,Non-COVID
17,29/04/2022,229,783,4662,151,551,4940,EandW,2022,Non-COVID
18,06/05/2022,173,699,3791,102,433,4008,EandW,2022,Non-COVID
19,13/05/2022,219,821,4711,149,534,4895,EandW,2022,Non-COVID
20,20/05/2022,215,834,4487,146,543,4748,EandW,2022,Non-COVID
21,27/05/2022,228,813,4303,144,514,4448,EandW,2022,Non-COVID
22,03/06/2022,128,521,2738,109,367,2776,EandW,2022,Non-COVID
23,10/06/2022,248,820,4631,149,624,4986,EandW,2022,Non-COVID
24,17/06/2022,265,799,4379,149,522,4466,EandW,2022,Non-COVID
25,24/06/2022,244,817,4278,165,515,4532,EandW,2022,Non-COVID
26,01/07/2022,251,736,4054,145,486,4353,EandW,2022,Non-COVID
27,08/07/2022,231,793,4011,123,487,4164,EandW,2022,Non-COVID
28,15/07/2022,241,769,3996,142,511,4271,EandW,2022,Non-COVID
29,22/07/2022,231,765,4249,131,498,4359,EandW,2022,Non-COVID
30,29/07/2022,232,753,4082,134,477,4525,EandW,2022,Non-COVID
31,05/08/2022,222,744,4068,128,535,4278,EandW,2022,Non-COVID
32,12/08/2022,243,716,4024,122,485,4173,EandW,2022,Non-COVID
33,19/08/2022,258,822,4196,127,540,4488,EandW,2022,Non-COVID
34,26/08/2022,254,747,4262,131,566,4529,EandW,2022,Non-COVID
35,02/09/2022,195,662,3487,108,408,3694,EandW,2022,Non-COVID
36,09/09/2022,229,843,4263,150,533,4370,EandW,2022,Non-COVID
37,16/09/2022,253,804,4225,143,556,4391,EandW,2022,Non-COVID
38,23/09/2022,181,644,3519,125,454,3593,EandW,2022,Non-COVID
39,30/09/2022,252,790,4329,138,550,4614,EandW,2022,Non-COVID
40,07/10/2022,222,775,4409,158,511,4732,EandW,2022,Non-COVID
41,14/10/2022,251,769,4679,151,544,4740,EandW,2022,Non-COVID
42,21/10/2022,246,811,4608,166,543,4877,EandW,2022,Non-COVID
43,28/10/2022,227,772,4330,135,527,4603,EandW,2022,Non-COVID
44,04/11/2022,249,810,4551,138,532,4865,EandW,2022,Non-COVID
45,11/11/2022,235,858,4510,155,525,4737,EandW,2022,Non-COVID
46,18/11/2022,260,803,4490,158,526,4919,EandW,2022,Non-COVID
47,25/11/2022,267,820,4487,165,576,4820,EandW,2022,Non-COVID
48,02/12/2022,243,818,4401,143,508,4877,EandW,2022,Non-COVID
49,09/12/2022,253,803,4552,154,592,5014,EandW,2022,Non-COVID
50,16/12/2022,278,847,4859,177,568,5270,EandW,2022,Non-COVID
51,23/12/2022,258,941,5722,161,699,6320,EandW,2022,Non-COVID
52,30/12/2022,120,514,3686,78,392,4334,EandW,2022,Non-COVID
1,07/01/2022,16,116,399,12,55,324,EandW,2022,COVID related
2,14/01/2022,26,116,639,19,82,500,EandW,2022,COVID related
3,21/01/2022,15,98,733,15,60,563,EandW,2022,COVID related
4,28/01/2022,19,96,649,6,48,567,EandW,2022,COVID related
5,04/02/2022,4,87,568,6,56,521,EandW,2022,COVID related
6,11/02/2022,9,69,503,11,34,440,EandW,2022,COVID related
7,18/02/2022,10,31,433,12,39,338,EandW,2022,COVID related
8,25/02/2022,8,42,409,4,25,278,EandW,2022,COVID related
9,04/03/2022,8,27,337,1,29,268,EandW,2022,COVID related
10,11/03/2022,7,34,334,7,17,272,EandW,2022,COVID related
11,18/03/2022,9,23,349,7,24,271,EandW,2022,COVID related
12,25/03/2022,5,39,390,6,26,314,EandW,2022,COVID related
13,01/04/2022,4,31,407,7,23,381,EandW,2022,COVID related
14,08/04/2022,3,29,469,6,26,427,EandW,2022,COVID related
